,source,target,total_freq,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,2009-07-08
965,19,66,97,0,1,32,44,59,65,68,68,97,97,97,97,97,97,97,97,97,97,97,97,97
966,19,67,673,0,6,231,289,305,423,428,428,525,526,526,526,567,567,673,673,673,673,673,673,673
967,19,68,233,0,0,95,96,107,136,138,138,143,143,143,144,216,217,233,233,233,233,233,233,233
968,19,69,483,0,268,326,344,345,347,347,347,357,357,357,358,467,467,483,483,483,483,483,483,483
969,19,70,8,0,0,1,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8
970,19,71,35,0,4,28,32,33,33,33,33,35,35,35,35,35,35,35,35,35,35,35,35,35
971,19,72,641,0,383,478,524,538,545,549,549,568,568,568,569,601,633,641,641,641,641,641,641,641
972,19,74,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
973,19,75,32,0,0,0,0,0,0,0,0,0,0,0,0,28,28,32,32,32,32,32,32,32
974,19,76,27,0,6,6,6,6,6,6,6,6,6,6,6,27,27,27,27,27,27,27,27,27
975,19,77,89,0,0,0,0,0,0,0,0,5,5,5,5,81,81,88,89,89,89,89,89,89
976,19,78,108,0,0,0,4,4,4,36,36,96,96,96,96,98,99,108,108,108,108,108,108,108
977,19,79,15,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,15,15,15,15
978,20,1,53,0,0,0,0,0,0,0,0,0,4,4,4,6,11,25,33,37,52,53,53,53
979,20,2,228,0,5,5,5,5,5,5,5,12,35,36,36,136,161,162,190,195,228,228,228,228
980,20,4,11,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,7,11,11,11,11,11
981,20,5,34,0,7,7,7,7,7,7,7,7,7,7,7,14,14,16,23,31,34,34,34,34
982,20,6,423,0,157,179,179,179,179,179,179,191,368,371,371,371,371,371,417,417,417,423,423,423
983,20,7,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
984,20,8,426,0,2,22,22,22,22,22,22,29,35,36,36,84,84,84,206,426,426,426,426,426
