pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
10,TYPEb-TYPEd,0.8000,1.4000,1.3000,1.0000,1.3000,1.0000,1.2000,0.7000,1.4000,1.2000,1.1000,0.8000,1.1000,0.6000,0.6000,0.5000,0.5000,0.5000,0.0000,0.1000,17.1000
11,TYPEb-TYPEe,0.3333,0.8333,1.0000,0.8333,0.5833,0.5833,0.5833,0.3333,0.8333,0.5833,0.5833,0.8333,0.9167,0.2500,0.5000,0.4167,0.3333,0.3333,0.0000,0.0000,10.6667
12,TYPEb-TYPEf,0.6875,1.0000,0.7812,0.7500,0.7188,0.5938,0.8125,0.5000,1.0312,0.9688,1.0000,1.0625,1.1250,0.5312,0.5625,0.5938,0.5625,0.5000,0.0000,0.0000,13.7812
13,TYPEb-TYPEg,0.6364,1.0000,0.7273,0.3636,0.7273,0.5455,0.7273,0.6364,1.0909,0.8182,0.9091,0.5455,0.5455,0.2727,0.3636,0.4545,0.6364,0.6364,0.0000,0.0000,11.6364
14,TYPEc-TYPEa,0.0000,0.3333,0.5000,1.0000,0.8333,0.5000,1.0000,0.0000,0.5000,0.8333,0.6667,0.8333,1.0000,0.6667,0.6667,0.8333,0.6667,0.5000,0.3333,0.3333,12.0000
15,TYPEc-TYPEb,0.5000,0.5000,0.6667,1.0000,0.5000,0.6667,0.6667,0.1667,0.5000,1.0000,1.0000,1.0000,0.8333,0.3333,0.3333,0.1667,0.3333,0.3333,0.0000,0.0000,10.5000
16,TYPEc-TYPEc,0.0000,0.2222,0.1667,0.2222,0.2222,0.2222,0.1111,0.0000,0.1667,0.1667,0.2222,0.1111,0.2222,0.2778,0.1111,0.0556,0.2222,0.1111,0.0000,0.0000,2.8333
17,TYPEc-TYPEd,0.1667,0.5667,0.4667,0.6500,0.3500,0.3833,0.5000,0.1333,0.4000,0.3833,0.3500,0.3667,0.6000,0.5000,0.4333,0.4833,0.4167,0.2333,0.0833,0.0667,7.5333
18,TYPEc-TYPEe,0.0833,0.3333,0.4444,0.5556,0.2778,0.2500,0.2500,0.0972,0.3194,0.2778,0.3472,0.3472,0.5139,0.3333,0.3194,0.3333,0.3056,0.2639,0.0417,0.0139,5.7083
19,TYPEc-TYPEf,0.0417,0.3802,0.3229,0.5052,0.2552,0.2344,0.2812,0.0885,0.3021,0.3281,0.4219,0.3906,0.5885,0.5000,0.4167,0.4323,0.4740,0.3229,0.0833,0.0469,6.4167
20,TYPEc-TYPEg,0.0758,0.2879,0.2879,0.5152,0.4545,0.3030,0.5000,0.1212,0.5303,0.3788,0.3333,0.3485,0.4848,0.3182,0.3333,0.5000,0.4394,0.4242,0.1667,0.0606,6.8636
21,TYPEd-TYPEa,0.2000,0.6000,1.1000,1.3000,1.3000,1.3000,1.0000,0.1000,0.8000,0.8000,0.7000,0.9000,1.3000,1.1000,1.1000,1.2000,0.9000,0.1000,0.6000,0.0000,16.4000
22,TYPEd-TYPEb,0.8000,1.4000,1.3000,1.0000,1.3000,1.0000,1.2000,0.7000,1.4000,1.2000,1.1000,0.8000,1.1000,0.6000,0.6000,0.5000,0.5000,0.5000,0.0000,0.1000,17.1000
23,TYPEd-TYPEc,0.1667,0.5667,0.4667,0.6500,0.3500,0.3833,0.5000,0.1333,0.4000,0.3833,0.3500,0.3667,0.6000,0.5000,0.4333,0.4833,0.4167,0.2333,0.0833,0.0667,7.5333
24,TYPEd-TYPEd,0.1800,0.8800,0.8600,1.1000,0.5800,0.5800,0.5400,0.2000,0.7400,0.5800,0.4000,0.3800,0.6000,0.4600,0.6600,0.5200,0.4000,0.2400,0.1800,0.1200,10.2000
25,TYPEd-TYPEe,0.1667,0.5833,0.7167,0.7917,0.4833,0.3333,0.3583,0.1333,0.4250,0.3083,0.2667,0.3167,0.6167,0.4333,0.6417,0.5417,0.4167,0.3167,0.1667,0.1000,8.1167
26,TYPEd-TYPEf,0.1781,0.8219,0.7281,0.7750,0.4437,0.3594,0.3781,0.1219,0.4813,0.5031,0.5031,0.4719,0.7531,0.6281,0.7594,0.6875,0.6281,0.4813,0.2156,0.1406,10.0594
27,TYPEd-TYPEg,0.1636,0.8091,0.7273,0.8727,0.6273,0.5636,0.6273,0.2091,0.8273,0.5727,0.4182,0.3545,0.6636,0.4273,0.7091,0.6636,0.6455,0.4545,0.2182,0.1455,10.7000
28,TYPEe-TYPEa,0.2500,0.4167,0.7500,1.0000,0.5833,0.4167,0.4167,0.0000,0.5833,0.4167,0.5833,0.4167,0.7500,0.6667,1.0000,1.0833,0.9167,0.4167,0.2500,0.0000,10.9167
29,TYPEe-TYPEb,0.3333,0.8333,1.0000,0.8333,0.5833,0.5833,0.5833,0.3333,0.8333,0.5833,0.5833,0.8333,0.9167,0.2500,0.5000,0.4167,0.3333,0.3333,0.0000,0.0000,10.6667
30,TYPEe-TYPEc,0.0833,0.3333,0.4444,0.5556,0.2778,0.2500,0.2500,0.0972,0.3194,0.2778,0.3472,0.3472,0.5139,0.3333,0.3194,0.3333,0.3056,0.2639,0.0417,0.0139,5.7083
31,TYPEe-TYPEd,0.1667,0.5833,0.7167,0.7917,0.4833,0.3333,0.3583,0.1333,0.4250,0.3083,0.2667,0.3167,0.6167,0.4333,0.6417,0.5417,0.4167,0.3167,0.1667,0.1000,8.1167
32,TYPEe-TYPEe,0.0694,0.3333,0.4306,0.4306,0.2361,0.1250,0.1528,0.0556,0.2639,0.1250,0.1944,0.2917,0.3889,0.2778,0.4722,0.4167,0.3750,0.2083,0.0833,0.0000,4.9306
33,TYPEe-TYPEf,0.1016,0.4766,0.4896,0.5130,0.2422,0.2083,0.1901,0.0729,0.2578,0.2161,0.3672,0.3932,0.5911,0.4245,0.5677,0.5573,0.4922,0.3880,0.1562,0.0573,6.7630
34,TYPEe-TYPEg,0.1061,0.4773,0.5833,0.5758,0.3636,0.2727,0.3030,0.1136,0.4318,0.2955,0.2955,0.3106,0.4924,0.2652,0.5682,0.6136,0.5909,0.5000,0.1591,0.0455,7.3636
35,TYPEf-TYPEa,0.1250,0.4688,0.9062,1.0625,0.8125,0.6562,0.6250,0.0312,0.5625,0.3750,0.6875,0.6562,0.9688,0.9688,0.8750,1.0625,0.9375,0.3750,0.3125,0.1875,12.6562
