pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
66,TYPEg-TYPEa,0.1333,0.7600,0.6133,0.6267,0.3067,0.2800,0.2800,0.1467,0.5867,0.3333,0.4800,0.5867,0.6000,0.5200,0.5733,0.7333,0.6533,0.4667,0.2000,0.0667,8.9467
67,TYPEg-TYPEb,0.1053,0.4737,0.2947,0.2947,0.1579,0.1789,0.2105,0.0842,0.4526,0.5684,0.5579,0.5158,0.5684,0.6105,0.7474,0.7368,0.6947,0.6316,0.2842,0.1368,8.3053
68,TYPEg-TYPEc,0.0400,0.5600,0.6000,0.5200,0.4800,0.4800,0.2400,0.2400,0.5200,0.6000,0.8400,1.1200,0.8000,0.8800,1.1600,1.1600,1.0800,1.1600,1.0400,0.4000,13.9200
69,TYPEg-TYPEd,0.0500,0.7500,0.8500,1.0000,0.4000,0.6000,0.4000,0.2500,0.8500,0.9500,1.1500,1.2500,1.1500,1.3000,1.3500,1.4000,1.2000,0.8500,0.0000,0.2500,16.0000
70,TYPEg-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
71,TYPEg-TYPEf,0.2375,0.7000,0.5125,0.5250,0.2625,0.2750,0.3250,0.2000,0.6500,0.7125,0.9125,0.8875,1.0750,1.1750,1.2250,1.1375,1.2000,1.1250,0.4375,0.0625,13.6375
72,TYPEg-TYPEg,0.2400,0.8000,0.8000,0.4800,0.2400,0.4000,0.0800,0.0800,1.1200,1.1200,1.0400,1.0400,0.9600,1.4400,1.5200,1.6000,1.5200,1.3600,1.0400,0.1600,17.0400
73,TYPEg-TYPEh,0.1200,0.4000,0.2000,0.3200,0.0400,0.0000,0.0400,0.0800,0.2800,0.2400,0.6800,0.6000,0.6400,0.4800,0.6000,0.6800,0.7200,0.7200,0.2000,0.0400,7.0800
74,TYPEg-TYPEi,0.1000,0.7000,0.8000,0.5000,0.2000,0.2000,0.1000,0.2000,0.4000,0.3000,0.6000,0.7000,0.4000,0.7000,0.9000,1.3000,1.1000,0.9000,0.6000,0.5000,11.2000
75,TYPEg-TYPEj,0.1500,0.5500,0.4500,0.7000,0.2500,0.2000,0.3000,0.0000,0.6500,0.3000,0.6500,0.9500,0.8500,1.0500,1.1000,1.4500,1.2500,1.1500,0.7000,0.1500,12.8500
76,TYPEg-TYPEk,0.4500,1.0750,0.6500,0.5750,0.3500,0.3250,0.4750,0.2000,0.7500,0.5750,0.9500,0.8250,1.0750,0.9000,0.8500,0.8500,0.8000,0.6750,0.4000,0.1000,12.8500
77,TYPEh-TYPEa,0.0267,0.2400,0.2267,0.3067,0.1467,0.0800,0.1333,0.0400,0.3867,0.1867,0.3600,0.2933,0.4133,0.1333,0.2000,0.3200,0.3733,0.2400,0.0933,0.0933,4.2933
78,TYPEh-TYPEb,0.0421,0.2105,0.1789,0.2526,0.1474,0.1053,0.2316,0.0421,0.2842,0.2316,0.4526,0.3789,0.4737,0.2947,0.3158,0.5368,0.4632,0.3895,0.1053,0.0526,5.1895
79,TYPEh-TYPEc,0.0400,0.3200,0.2800,0.2400,0.0000,0.1200,0.0800,0.0400,0.2800,0.2400,0.5200,0.6000,0.5600,0.3200,0.3600,0.6000,0.4800,0.5600,0.2000,0.1600,6.0000
80,TYPEh-TYPEd,0.0000,0.3500,0.2000,0.2000,0.0500,0.0000,0.0000,0.0000,0.2000,0.3000,0.4500,0.4000,0.6000,0.4500,0.4000,0.4000,0.6500,0.3500,0.0000,0.1000,5.1000
